rhode fluvius
fluvius rhode
rhodiorum regio
regio rhodiorum
rhymmici montes
montes rhymmici
robogdium prom
prom robogdium
rostrum nemaviae
nemaviae rostrum
rubresus lacus
lacus rubresus
rubrum mare
mare rubrum
sabaricus sinus
sinus sabaricus
sabatia vada
vada sabatia
sabatinus lacus
lacus sabatinus
sacrum prom
prom sacrum
sagute sinus
sinus sagute
salutaris phrygia
phrygia salutaris
samachonitis lacus
lacus samachonitis
sambracitanus sinus
sinus sambracitanus
santonum portus
portus santonum
santonum promontorium
promontorium santonum
sapphar metropolis
metropolis sapphar
sapra palus
palus sapra
sarapionis portus
portus sarapionis
sarapis ins
ins sarapis
sariphi montes
montes sariphi
sarmaticae portae
portae sarmaticae
sarmatici montes
montes sarmatici
sarmaticum mare
mare sarmaticum
saronicus sinus
sinus saronicus
sarpedonium prom
prom sarpedonium
saturae palus
palus saturae
saturni promontorium
promontorium saturni
satyri monumentum
monumentum satyri
satyrorum promontorium
promontorium satyrorum
sauloe parthaynisa
parthaynisa sauloe
saxa rubra
rubra saxa
scapte hyle
hyle scapte
scironia saxa
saxa scironia
scordus mons
mons scordus
scylleticus sinus
sinus scylleticus
sebinus lacus
lacus sebinus
segeda augurina
augurina segeda
semana silva
silva semana
semanthini montes
montes semanthini
semiramidis mons
mons semiramidis
sena insula
insula sena
sepontia paramica
paramica sepontia
septem aquae
aquae septem
septem arae
arae septem
septem fratres
fratres septem
septem maria
maria septem
septem pagi
pagi septem
sepulchrum euripidis
euripidis sepulchrum
serbonis lacus
lacus serbonis
sermylicus sinus
sinus sermylicus
sestiaria prom
prom sestiaria
setantiorum portus
portus setantiorum
setius mons
mons setius
severi murus
murus severi
severus mons
mons severus
shaveh kirjathaim
kirjathaim shaveh
sicca veneria
veneria sicca
siculum mare
mare siculum
silicense flumen
flumen silicense
sinda sarmatica
sarmatica sinda
singiticus sinus
sinus singiticus
sirbonis lacus
lacus sirbonis
smaragdus mons
mons smaragdus
smyrnaeus sinus
sinus smyrnaeus
sogdii montes
montes sogdii
solis insula
insula solis
solis fons
fons solis
solis portus
portus solis
solis promontorium
promontorium solis
solonius ager
ager solonius
solorius mons
mons solorius
speos artemidos
artemidos speos
stabulum diomedis
diomedis stabulum
stabulum novum
novum stabulum
stagna volcarum
volcarum stagna
staliocanus portus
portus staliocanus
stentoris lacus
lacus stentoris
stoborrum prom
prom stoborrum
stratonis insula
insula stratonis
stratonis turris
turris stratonis
strymonicus sinus
sinus strymonicus
sturium insula
insula sturium
sucronensis sinus
sinus sucronensis
sudeti montes
montes sudeti
suesia palus
palus suesia
suessa pometia
pometia suessa
